@relation weka_SO_comments_model

@attribute text string
@attribute @@class@@ {good,bad}

@data
'seriously.. why the downvote? if a newbie can\'t ask questions at a community, what does the community exist for?',good
'why down vote here? please leave your comment.',good
'this looks like a thedailywtf.com-type approach for downloading a document via http. different operating systems use different libraries for implementing http. since you did not indicate which operating system you are using, no answer is possible. but one can always create a socket, connect, send an http request, and retrieve the http response manually. http is very simple.',good
'-- don\'t call me a jerk. read the rules. stackoverflow.comhelpon-topic you wouldn\'t expect to be able to ask a question about how to plug in your computer here, would you? off topi',good
'in fairness, hes not being a jerk. this site does define very clearly what questions are for here, and what arent. the reality is the question close reasons exactly list the text he picked.. he wasnt being a jerk',good
'no i didn\'t read a book and i didn\'t found a tutorial on how to read of a pastebin post in c.',good
'did you even try to do anything yourself or did you just dump your assignment here?',good
'maybe you should tell us what your program actually does. because if it handles sensitive information, this ain\'t a good idea.',good
'down voted because my year old answer is now out of date?',good
'possible duplicate of generate a dynamic form using flask-wtf and sqlalchemy',good
'footer for that website is content copyrighted. reproduction denied.. maybe they don\'t want you copying their stuff and have limited content access?',good
'don\'t worry, no insult taken. it\'s just that at some days, i would at least like to try to be a rockstar -',good
'as far as i know wtforms uses classattributes to determine which fields to show. in the answer they are creating a class at runtime with the appropriate class attributes to show what they want. that should also be possible in your case. but actu',good
'my boss asks me to do stupid stuff all the time. sometimes, i can talk him off the ledge other times, i just have to swallow my pride and do it his way - it\'s his company, not mine. if you\'re not in the same boat, count your blessings',good
'downvotes get removed when the question gets deleted so all the op has to do is delete it. also downvotes are entirely appropriate since this question has nothing to do with android and also has nothing to do with programming',good
'pay some symfony guy here to get you on track. note, i am not a symfony guy.',good
'sorry, i mixed you up with abishek below when i wrote the comments and just realised that and deleted the comments before you wrote back - i actually wrote my answer hours ago, you wrote yours hours ago. mine was here first so i literall',good
'downvoters please atleast care to comment reason for downvoting',good
'thanks to you also. well spotted. what an idiot i am.',good
'i kind of understand what you mean but im sorry if this is a dumb question,where is contentpane.addnew jscrollpanetable supposed to be placed?',good
'title and content contradicts. are you trying to get your followers or the people you follow?',good
'no worries, i\'m off out now. have fun coding!',good
'sounds like a place i once knew. i presume that the other approach find an old pc that someone is throwing out, install linux yourself is also rendered impossible by the network and firewall people or regulations?',good
'downvoted without even leaving a comment?',good
'if you don\'t post some code, no answer is possible. you\'re doing something wrong, but without some code nobody can really tell you what.',good
'well, the thing is that the online example has managed to idiot-proof itself, whereas when i try the same example on my local machine, it isn\'t idiot-proof.',good
'i thought that here will be some smart man, who can help me solve this task. you have to know that i made researches before i came here, but i found nothing useful. i didnt meant to bother anyone or insult so rules. if no one can help or understand the task, then i think this doesn\'t have any solution.',good
'damn wordpress always p\'s all over my stuff!',good
'holy cow, all i did was shut down vs and then restart comp, came back and it hit the breakpoint.. such a waste of time when it was going where we expected lol thanks for the help anyways man. much appreciated.',good
